checked,is_technic,is_electric,is_train,set_num,name,year,theme_id,num_parts,comment
1,1,1,0,8299-1,Search Sub [with CD],1997,1,379,///!!!
1,1,1,0,8366-1,Supersonic RC,2003,112,429,///!!!Legendary!!!
1,1,1,0,8369-1,Dirt Crusher RC,2004,112,88,///!!!Legendary!!!
1,1,1,0,8369-2,Dirt Crusher RC (Blue),2005,112,88,///!!!Legendary!!!
1,1,1,0,8376-1,Hot Flame RC Car,2003,112,257,///!!!
1,1,1,0,8378-1,Red Beast RC,2004,112,65,///!!!Legendary!!!
1,1,1,0,8386-1,Ferrari F1 Racer 1:10,2004,114,719,///!!!Legendary!!!
1,1,1,0,8415-1,Dump Truck,2005,1,284,
1,1,1,0,8416-1,Forklift,2005,1,729,
1,1,1,0,8421-1,Mobile Crane,2005,1,1885,//Crane
1,1,1,0,8428-1,Turbo Command Featuring CD-ROM Experience Expander,1998,1,472,///!!!
1,1,1,0,8435-1,4WD,2004,1,763,
1,1,1,0,8436-1,Truck,2004,1,1032,
1,1,1,0,8440-1,Formula Flash,1995,1,419,///!!!
1,1,1,0,8445-1,Indy Storm / Formula 1 Racer,1999,1,434,
1,1,1,0,8448-1,Super Street Sensation,1999,1,1406,///!!!
1,1,1,0,8454-1,Rescue Truck,2003,1,634,///!!!
1,1,1,0,8455-1,Backhoe Loader,2003,1,704,
1,1,1,0,8456-1,Fiber Optic Multi Set / Multi Racer Set (with Fibre Optics),1996,1,406,///!!!Legendary!!!
1,1,1,0,8458-1,Silver Champion,2000,1,1433,///!!!Legendary!!!
1,1,1,0,8461-1,Williams F1 Team Racer,2002,122,1484,///!!!Legendary!!!
1,1,1,0,8462-1,Tow Truck,1998,1,786,///!!!Wheels
1,1,1,0,8466-1,4x4 Off Roader,2001,1,1103,///!!!
1,1,1,0,8475-1,RC Race Buggy,2002,112,284,///!!!Controls!!!
1,1,1,0,8479-1,Barcode Multi-Set,1997,1,1274,///!!!BarCodes
1,1,1,0,8482-1,CyberMaster,1998,3,897,///!!!TechnicHub Programmable
1,1,1,0,8483-1,CyberMaster,1998,3,897,///!!!Legendary!!!
1,1,1,0,8485-1,Control Centre / Control II,1995,21,1067,///!!!ControlPanel!!!
1,1,1,0,8527-1,LEGO Mindstorms NXT,2006,259,579,///!!!Legendary!!!
1,1,1,0,8528-1,Converter Cables for Mindstorms NXT,2006,259,3,///!!!
1,1,1,0,8529-1,Connector Cables for Mindstorms NXT,2006,259,7,///!!!
1,1,1,0,8531-2,Pohatu - With mini CD-ROM,2001,324,50,
1,1,1,0,8532-2,Onua - With mini CD-ROM,2001,324,33,
1,1,1,0,8533-2,Gali - With mini CD-ROM,2001,324,36,
1,1,1,0,8534-2,Tahu - With mini CD-ROM,2001,324,34,
1,1,1,0,8535-2,Lewa - With mini CD-ROM,2001,324,37,
1,1,1,0,8536-2,Kopaka - With mini CD-ROM,2001,324,34,
1,1,1,0,8546-1,Power Pack,2001,324,10,
1,1,1,0,8547-1,Mindstorms NXT 2.0,2009,259,621,///!!!Legendary!!!
1,1,1,0,858-1,Auto Engines,1980,4,242,
1,1,1,0,8587-3,Panrahk - With mini CD-ROM,2003,324,45,
1,1,1,0,8588-3,Kurahk - With mini CD-ROM,2003,324,44,
1,1,1,0,8589-3,Lerahk - With mini CD-ROM,2003,324,45,
1,1,1,0,8590-3,Guurahk - With mini CD-ROM,2003,324,45,
1,1,1,0,8591-3,Vorahk - With mini CD-ROM,2003,324,44,
1,1,1,0,8592-3,Turahk - With mini CD-ROM,2003,324,45,
1,1,1,0,8614-2,Vahki Nuurakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8615-2,Vahki Bordakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8616-2,Vahki Vorzakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8617-2,Vahki Zadakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8618-2,Vahki Rorzakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8619-2,Vahki Keerakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,324,33,
1,1,1,0,8649-1,Nitro Menace,2005,112,622,
1,1,1,0,8653-1,Enzo Ferrari 1:10,2005,114,1358,//Classic
1,1,1,0,8669-1,Fire Spinner 360,2006,112,113,///!!!
1,1,1,0,8674-1,Ferrari F1 Racer 1:8,2006,114,1246,///!!!
1,1,1,0,8675-1,Outdoor Challenger,2006,112,99,///!!!
1,1,1,0,8676-1,Sunset Cruiser,2006,112,54,///!!!
1,1,1,0,8700-1,Expert Builder Power Pack,1982,4,27,///!!!
1,1,1,0,870-1,4.5V Supplementary Set,1977,4,22,///!!!
1,1,1,0,8720-1,Power Pack,1991,19,55,///!!!
1,1,1,0,872-1,Supplementary Set,1978,4,77,///!!!
1,1,1,0,8735-1,Power Pack Motor Set,1998,19,60,///!!!
1,1,1,0,88000-1,Power Functions AAA Battery Box,2011,438,1,///!!!
1,1,1,1,88002-1,Power Functions Train Motor,2011,438,7,//////!!!!!!
1,1,1,0,88003-1,Power Functions L-Motor,2013,438,1,///!!!
